System ID,Context Length,MSE,MAE,R2 Score
900,128,0.326417351435106,0.5072308292612433,-3.721500724790987
920,128,14.279889664341704,3.1217495292425155,-2.149116919517508
940,128,5.1383987680820455,1.7898141799587755,-7.973430171472531
950,128,0.4538623450988656,0.44362442407757036,0.7849013730415297
970,128,0.05636567271334068,0.1805608978122473,-0.9856006763455807
900,512,0.038369501951317955,0.14945237826555968,0.444999996242439
920,512,0.5302014881866105,0.6579995292425155,0.883075673800818
940,512,6.691081128187261,1.9946835712064057,-10.68495322869954
950,512,158.45239393939391,10.700654202364385,-74.09521938248025
970,512,0.05636567271334068,0.1805608978122473,-0.9856006763455807
900,768,0.12248446444718139,0.28716473903506995,-0.7716903991789632
920,768,14.279889664341704,3.1217495292425155,-2.149116919517508
940,768,15.82113009923116,2.8334335712064056,-26.629192008432742
950,768,4.098805989764047,1.4102433362975717,-0.9425439234782729
970,768,0.05636567271334068,0.1805608978122473,-0.9856006763455807
