System ID,MSE,MAE,R2 Score
900,0.4132694573953559,0.4592700535431504,-4.977782841651643
910,0.0727172420353415,0.21563838720321654,-1.6522014433340537
920,2.7482862932281624,1.4379995292425156,0.393925648648782
930,0.8960174914416978,0.8017648997902871,-0.7500826484621812
940,0.9451013562472241,0.6103094774764031,-0.6504754512102584
950,1.9426337235750382,0.99139932859689,0.07932911567451462
960,3.535459640353102,1.231616819612682,-1.8660897754397965
970,0.0886857111213817,0.24084698922932146,-2.124142754054741
980,0.49661368717655996,0.5340746239945292,-1.4467524469847715
990,1.2192050291794865,0.7215316042304041,-2.024977187058383
