System,MSE,MAE,R2 Score,MedAE,DTW,Pearson
1,0.02393630820285638,0.11525063730776311,0.9035280523740241,0.08711316585540774,0.8931563387099752,0.9560128811643446
1,0.014284070271234678,0.07138035457581281,0.7933864488450519,0.0443549782037735,0.9030331712872415,0.9422177411862169
1,0.005248532706192613,0.05661915314849466,0.9909602639701262,0.04013129808008675,0.6375829409375592,0.9979740552919566
1,0.043517915610498385,0.15048315055668354,0.8512423216574808,0.11578755378723149,1.0486112510218653,0.9277109440974591
1,0.014284070271234678,0.07138035457581281,0.7933864488450519,0.0443549782037735,0.9030331712872415,0.9422177411862169
1,0.020775515441588864,0.11088343402370811,0.7704407337449005,0.08970277309417729,0.6005905426008035,0.9047484186596717
1,0.013535760326337371,0.09171504691243174,0.7655341422758596,0.07126421034336089,0.6818969817933256,0.8916961067690707
1,0.2782075949230086,0.33808181343600163,0.8113867910183717,0.21858588457107542,3.333430610954118,0.9556763253653573
1,0.28884832897853785,0.3698501178622246,0.8556468412178743,0.19167828559875488,2.0064767035809457,0.9339912841898779
1,0.0054940036375538456,0.0606814444810152,0.9677763753290622,0.05483087301254272,0.6203488711560502,0.9853571828693842
